"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Arfgef1" 5.63325700901039 5.15583305559358 5.00553307484099 5.36083118777686 5.23426789352688 5.15790126408009
"Prex2" 5.92996705278538 5.651247647934 5.804948522788 4.87223809524342 4.74413454354566 4.65764892387944
"A830018L16Rik" 2.02117316529014 2.60989454018957 2.33583435075336 1.8680717983104 1.80965413466495 2.14267653644374
"Gm17644" 10.3263545225768 9.96768571618644 9.83414432453684 9.7146740387285 9.37664391436079 9.35324454931165
"Sulf1" 6.42162993287892 6.35457597120257 6.51699581226651 5.21609443922883 4.87797723663845 4.64455043534741
"Slco5a1" 2.1044286689395 2.18757436496703 2.64272304617658 0.183308690598802 0.443701415885591 0.364308243266974
"Prdm14" 2.83056723262135 2.16401963698813 1.88837537378214 2.43687296196969 2.21876679998669 2.02052942715795
"Ncoa2" 5.57606590218025 4.98151656946635 5.08715523789663 4.88603949234175 4.57356487743339 4.47732502269593
"Tram1" 5.52409356552266 5.34969044319857 5.51758478759246 4.48421900421708 4.08674459068197 3.89815542826128
"Lactb2" 5.33594146860464 4.80049507854718 4.53281435291679 4.12630779338336 3.7997658503005 3.54232692675562
"Gm5523" 1.51270880204303 0.169944470945234 0.303412873060981 -0.292611050827064 -2.005605985478 -1.54715508213137
"Eya1" 2.50251303493714 1.83166417065043 2.1045088046469 1.31429400277477 0.952165779132704 0.660440337276999
"Msc" 0.854814778868023 0.0205668469070078 -0.0971250565227476 0.383386526047716 -0.420643484756843 -0.32476266079492
"Trpa1" 0.117849184701817 0.897418616134143 0.931444095674023 -1.52610118104684 -0.496592337990142 -1.2956163151354
"Terf1" 6.73528263740561 6.17915358584103 6.15156157035108 5.82119097932889 5.48563044273334 5.31141803081321
"Sbspon" 1.96287452472548 2.09095617479841 2.67687126858843 2.38597897066424 1.90128461013052 2.02052942715795
"4930444P10Rik" 4.47409735277306 4.38513927920286 4.59664065569503 3.26021260420201 3.27979623338425 3.32027075878065
"Rpl7" 9.254270736948 8.1234730656743 7.56536530739103 7.36978109038509 6.42613267729645 6.39787064236392
"Rdh10" 1.87075632273704 2.02710969277378 2.07919771611772 0.444354543339143 0.402478753159078 0.250352053969889
"Stau2" 2.02117316529014 1.496594976075 0.813607605380165 1.21281268490889 0.56074083707581 0.718738977841666
"Ube2w" 3.04244178204379 2.50130197875253 2.37795982642603 2.1862863903987 2.20684363261087 1.83531455469104
"Tceb1" 4.39362881878529 3.50364973360895 2.9243546708877 2.37558112355892 1.58857504527254 1.42684970933569
"D030040B21Rik" 1.24560473190019 1.69041824521468 1.91723023645432 0.502850192649287 0.863809904711857 0.599686306197903
"Tmem70" 3.07032081461923 2.26711312995223 2.39857010610132 1.47876457412497 0.736897792229637 0.979390732364466
"Jph1" 2.78081419742425 2.3319642743022 2.27024600912578 2.32243717608338 1.91600611583728 1.59190895560618
"Pi15" 3.94416226446331 4.11725804611089 4.16290059943871 3.53707523830058 3.4206587692241 3.49306939547813
"Gm16070" 6.64315247475526 6.54612324690489 6.16666055736806 5.55186926500773 5.3362976761746 5.33140679041866
"Crispld1" 1.29369902010123 1.13402489669029 1.09190876786727 0.999155073550046 0.703345232518611 1.11580993059106
"Tfap2b" 1.24560473190019 1.00739145815927 1.44884331258255 0.159263216632151 0.402478753159078 -0.581920500292045
"Pkhd1" 3.12451291498283 2.78995391876559 2.57190170898688 3.37948910348592 3.1550412023763 3.10218664672709
"Mcm3" 8.43325037250003 7.46817609678508 7.10725045479635 6.85538331054575 6.30762591043955 6.32994642483097
"Paqr8" 0.789226437240446 1.73905302046555 2.00048574010367 1.17733478955417 1.37076989343174 1.60742195497751
"Tram2" 1.47148613931652 1.60552934762816 1.85893159588966 1.71977267362877 1.47386338639584 1.82207872753435
"Tmem14a" -1.46711331601934 -0.206204014940014 -0.834090650688954 -2.21199259061878 -2.005605985478 -1.69154499146654
"Gsta3" 1.51270880204303 0.347731590160517 0.544420972564776 -0.627030089897623 -1.45811819017551 -1.18458500274666
"Rims1" 2.6758446378227 2.35294929943154 2.41889009048092 0.319727888825398 -0.151456851941454 0.660440337276999
"Ogfrl1" 3.70725759045417 3.23072897945804 3.02056998614701 2.37558112355892 2.13315808447785 2.35973551347715
"B3gat2" 0.648363901400597 0.64859806952005 0.1169997488301 -0.292611050827064 -0.214192607289417 0.126616685547644
"Smap1" 4.96473247094606 4.10802968815735 4.1748981325383 3.53006049980867 3.11093791963629 2.98830545717221
"Sdhaf4" 1.59178037303423 0.0720971475470898 0.931444095674023 -1.0631292047043 -1.31372828084033 -1.08149150978256
"Fam135a" 4.55031375573884 4.38768371556063 4.65348144831284 4.18999989319776 4.10933759219445 4.00157510143045
"Lmbrd1" 3.29959962154092 3.45595299157765 3.76284449169828 3.51355890603794 3.50096861655844 3.53423324470929
"Adgrb3" -1.82968339540405 -0.206204014940014 -0.0971250565227476 -1.37800254205771 -1.61858286236875 -1.85200966365979
"Gm20172" 2.30547618787759 2.36332844521154 2.69364698133925 1.96834902676887 1.93057891692456 1.3551482439815
"Phf3" 8.38446223071298 7.76900368348181 7.72585996202413 6.96260748833546 6.66054972245235 6.56161826536438
"Ptp4a1" 1.09088213710155 0.868563753461958 1.44884331258255 -0.66946535621802 -1.18248374756208 -0.65407028604788
"4931428L18Rik" 1.51270880204303 1.51533153865659 0.616570758320611 0.732051003407206 0.56074083707581 1.07175475051313
"Gm5415" -1.17760669882435 -0.631509849672685 -1.04054152815638 -2.48762703323221 -0.848064708491519 -1.69154499146654
"Prim2" 4.59897587443843 3.86674101785514 3.90647718015745 3.46779345630397 2.99785786982557 2.81207155417897
"Rab23" 5.46756043610272 4.80049507854718 4.64488115434399 3.44808083479743 3.01846814950086 3.10218664672709
"Bag2" 1.29369902010123 0.77836594449038 0.213215064089403 -0.804817209112906 -1.31372828084033 -1.41591054885312
"Zfp451" 6.27510253883407 5.64168630559731 5.59552531351278 5.24422788402729 4.92422142140768 4.88150418771111
"Gm15455" 1.29369902010123 1.00739145815927 0.388301770647494 0.319727888825398 -0.0336203616475957 -1.85200966365979
"Bend6" 0.117849184701817 -1.67333002536731 -0.653518405047133 -2.21199259061878 -2.53612070217678 -2.23903278676904
"Dst" 10.2527983324591 10.1607924156309 10.3587363963526 9.78652119257525 9.58975909687908 9.58117686573499
"Ccdc115" 3.99595687968131 2.82792176896461 2.96637788578341 2.32243717608338 1.67765858885496 1.27969601555203
"Imp4" 4.96844120060002 4.08939397102812 4.13860200331531 3.35588083964782 2.65589807011615 2.71516352361784
"Ptpn18" 0.720513687156432 -0.146083022502444 -0.834090650688954 -1.87757355154822 -2.89869078156149 -1.18458500274666
"Arhgef4" 2.95541871980643 2.35294929943154 2.22480303836462 1.30336444261651 1.259738581043 1.26019983992624
"Fam168b" 5.60256021178747 5.07919820392223 4.92613029577756 4.75880105685705 4.3560004341014 4.28573493203337
