	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
Lrtm1	3	4	4	5	7	2	3	4	8	6	6	13
Lrtm2	3	22	2	7	21	33	5	2	14	25	8	11
Lrwd1	437	675	439	719	1962	1038	526	844	1512	1137	1040	1285
Lsamp	0	0	0	1	0	0	0	0	0	0	0	2
Lsg1	730	2180	774	1657	4161	2853	756	1798	3023	3281	1624	2838
Lsm1	210	489	271	372	1231	597	244	406	868	701	525	640
Lsm10	66	321	38	232	294	474	52	299	178	479	100	385
Lsm11	212	531	157	508	492	653	171	538	451	763	383	812
Lsm12	477	1528	436	778	2189	1943	390	782	1981	2237	1040	1375
Lsm14a	1683	2529	1347	2293	6284	3095	1444	2313	4583	3532	2861	3675
Lsm14b	551	1249	687	1339	2228	1739	724	1418	1736	1879	1804	2254
Lsm2	347	921	380	739	2129	1232	361	728	1500	1398	899	1242
Lsm3	446	1301	394	854	2412	1619	439	969	1868	1975	895	1631
Lsm4	747	1027	596	888	4133	1559	770	971	3502	1764	1544	1399
Lsm5	288	919	234	532	1906	1164	246	527	1405	1304	620	909
Lsm6	517	1212	503	843	2769	1440	515	831	2086	1647	1187	1349
Lsm7	228	721	284	796	1611	1007	346	944	1300	1322	789	1435
Lsm8	228	620	215	586	1326	758	226	570	884	858	452	879
Lsmem1	0	5	1	4	5	2	2	2	4	4	1	5
Lsp1	3	53	0	10	19	30	0	11	9	39	0	15
Lsr	385	771	263	645	958	885	300	622	679	1088	550	947
Lss	488	640	343	680	2005	972	379	874	1475	1044	818	1285
Lst1	1	2	2	1	4	4	0	1	1	8	1	7
Lta	0	4	1	2	4	9	0	4	2	6	0	0
Lta4h	583	866	559	612	2380	1190	667	685	1911	1322	1403	1137
Ltb	6	55	0	24	38	56	6	19	17	60	5	36
Ltb4r1	1	22	1	11	23	24	1	9	21	35	6	21
Ltb4r2	2	25	3	23	24	22	0	23	22	32	3	18
Ltbp1	49	362	77	403	160	438	64	358	129	473	161	615
Ltbp2	2	19	9	23	11	30	5	17	13	27	8	34
Ltbp3	68	51	29	141	113	66	58	159	79	71	94	285
Ltbp4	1945	1385	4146	2441	7449	2121	4949	2846	5809	2305	9332	3854
Ltbr	59	80	52	77	126	74	73	86	99	93	123	109
Ltc4s	4	22	5	15	15	21	4	20	11	24	5	23
Ltf	0	0	0	0	1	4	0	1	1	4	0	0
Ltk	6	15	5	29	10	21	8	30	16	26	10	50
Ltn1	1539	2363	1327	2313	5159	2899	1379	2355	4328	3261	2759	3405
Ltv1	624	1312	426	932	3380	1634	476	987	2569	1951	1068	1636
Luc7l	1856	3010	1618	2620	5246	3610	1644	2876	4911	4011	3648	4930
Luc7l2	3046	4760	2883	4031	10289	5930	2781	4239	9012	6552	6420	7052
Luc7l3	2216	5415	2503	3751	8212	5735	2444	4010	7279	6767	6213	7055
Lum	0	9	0	2	0	4	0	2	0	10	0	5
Lurap1	12	37	22	44	39	60	13	52	55	69	37	97
Lurap1l	15	83	23	90	13	135	42	90	11	117	69	188
Luzp1	1676	3732	1527	3706	6759	4377	1544	3961	5388	4903	3390	5994
Luzp2	0	5	0	4	0	2	0	2	0	6	1	3
Luzp4	0	0	0	0	2	2	0	0	0	1	0	2
Lvrn	0	14	4	2	0	6	1	6	0	14	4	6
Lxn	47	132	40	85	132	135	39	91	113	186	37	156
Ly6a	2	32	1	4	4	31	0	3	5	24	2	3
Ly6c1	0	2	0	0	2	1	0	1	1	5	0	1
Ly6c2	0	0	0	0	0	0	0	0	0	0	0	0
Ly6d	0	0	0	0	0	0	0	0	0	1	1	1
Ly6e	137	1347	223	1282	921	1680	276	1321	684	1784	474	2213
Ly6f	0	0	0	0	0	5	0	0	1	1	0	3
Ly6g5b	3	13	8	2	30	13	2	3	21	24	6	6
Ly6g5c	0	2	0	1	0	0	0	0	3	1	0	1
Ly6g6c	11	1	5	4	3	3	3	3	1	4	2	6
Ly6g6d	31	5	22	24	21	4	21	19	12	6	52	23
Ly6g6e	151	96	120	198	58	100	102	202	48	134	267	348
Ly6g6f	2	0	1	0	0	0	1	0	2	1	4	2
Ly6h	3	11	8	25	12	10	8	12	9	18	14	29
Ly6i	0	0	0	0	0	1	0	0	0	0	0	0
Ly6k	1	3	1	3	5	3	1	1	6	5	1	3
Ly75	1544	793	1633	199	2980	1021	1536	211	2442	1120	3992	432
Ly86	0	0	1	0	2	0	0	0	1	0	2	0
Ly9	0	0	0	0	0	0	0	0	0	0	0	0
Ly96	5	10	3	10	14	9	2	7	7	14	14	16
Lyar	1099	2108	739	1365	7035	2913	841	1522	5511	3377	2129	2695
Lyg1	0	0	1	1	0	0	0	0	0	0	0	0
Lyg2	0	1	0	0	0	0	0	0	0	0	0	0
Lyl1	2	2	3	0	13	5	2	3	6	10	5	3
Lyn	32	133	38	62	71	152	44	63	56	136	87	108
Lynx1	0	11	3	34	6	16	1	23	7	28	3	45
Lypd1	0	2	1	1	0	1	0	1	1	1	0	0
Lypd2	0	4	0	0	0	5	0	2	2	2	0	2
Lypd3	0	12	0	4	1	18	0	0	0	16	0	8
Lypd4	0	0	0	0	1	2	0	0	1	0	0	0
Lypd5	0	0	0	0	2	1	0	1	0	0	0	0
Lypd6	3	83	5	65	55	77	9	58	40	112	22	108
Lypd6b	0	38	0	12	8	43	0	15	4	35	1	18
Lypd8	0	0	0	0	0	1	0	0	0	0	0	0
Lypla1	1016	2976	1233	2045	7178	3639	1374	2072	4879	4478	2876	3692
Lypla2	274	745	349	648	1641	999	405	679	1209	1142	787	1026
Lyplal1	160	185	208	118	479	299	247	156	444	358	493	289
Lyrm1	18	44	18	30	54	33	20	26	48	56	47	49
Lyrm2	61	116	111	168	347	131	114	163	261	175	272	290
Lyrm4	97	124	53	119	224	174	70	127	227	207	130	223
Lyrm5	102	81	81	67	298	99	79	65	194	97	188	105
Lyrm7	13	28	20	16	81	31	30	22	60	30	43	44
Lyrm7os	1	0	0	0	0	0	0	0	0	0	0	0
Lyrm9	59	94	90	86	283	95	118	134	236	114	240	222
Lysmd1	48	146	31	86	209	174	45	106	144	196	84	205
Lysmd2	26	212	26	180	119	203	36	133	128	302	56	262
Lysmd3	160	587	176	462	636	605	160	436	531	690	382	761
Lysmd4	66	81	68	74	146	101	80	96	120	103	155	155
Lyst	321	1006	429	697	859	1024	333	732	702	1006	958	1055
Lyve1	0	1	0	0	0	0	0	0	1	0	0	0
Lyz1	0	0	0	0	0	0	0	0	0	0	0	0
Lyz2	0	0	0	0	0	0	0	0	0	0	0	0
Lyzl1	0	0	0	0	0	0	0	0	0	0	0	0
Lyzl4	0	0	0	0	0	1	0	0	0	0	0	0
Lyzl4os	0	0	0	0	0	0	0	0	0	0	0	0
Lyzl6	0	1	0	0	0	0	0	0	0	0	0	0
Lzic	210	584	201	562	934	753	200	529	731	818	366	814
Lztfl1	352	450	331	520	971	508	294	439	709	581	614	725
Lztr1	294	537	281	661	991	708	309	669	785	801	660	1117
Lzts1	0	17	4	3	15	26	3	4	13	28	1	7
Lzts2	409	800	141	1137	584	993	177	1199	454	1124	313	1693
Lzts3	35	238	58	332	260	296	51	342	175	355	132	564
M1ap	4	23	6	0	28	27	2	0	40	21	6	2
M6pr	1519	2171	1325	1886	5612	2611	1477	1826	4325	2988	3153	2916
Maats1	5	19	2	3	26	34	1	5	15	33	5	6
Mab21l1	4	18	20	25	13	21	17	11	11	9	17	24
Mab21l2	11	22	15	33	13	26	6	20	14	24	18	30
Mab21l3	8	35	11	26	82	42	11	26	62	50	23	34
Macc1	0	9	0	8	0	10	0	1	0	10	0	2
Macf1	7988	19978	9381	21714	19334	22884	8415	22174	16819	23619	18698	31641
Macrod1	15	25	39	31	76	61	52	35	57	50	70	63
Macrod2	40	115	38	88	138	170	32	120	112	179	80	128
Mad1l1	581	915	421	675	1731	1184	443	742	1533	1128	1103	1119
Mad2l1	634	1878	787	1461	3792	2180	782	1572	2911	2640	1570	2472
Mad2l1bp	98	391	72	350	348	572	93	393	276	605	165	536
Mad2l2	123	224	94	168	336	278	125	179	251	300	243	298
Madcam1	35	11	12	38	34	16	13	41	36	7	11	50
Madd	252	366	247	556	684	481	230	638	535	521	454	846
Maea	822	1620	783	1741	3533	2111	934	1792	2638	2527	1596	2588
Mael	23	55	14	4	74	58	6	5	69	58	28	6
Maf	7	14	6	20	7	9	2	17	12	17	7	31
Maf1	473	520	408	768	1528	659	508	851	1028	880	888	1230
Mafa	12	31	11	45	43	32	16	56	46	43	27	73
Mafb	7	12	4	27	14	13	1	20	30	14	8	27
Maff	151	141	105	142	210	184	111	171	169	205	150	229
Mafg	709	1131	541	1226	1438	1369	659	1360	1232	1576	1342	1886
Mafk	142	266	55	105	319	344	58	149	223	389	122	173
Mag	0	4	1	0	2	2	0	1	1	4	1	0
Magea1	0	0	0	0	0	0	0	0	0	0	0	0
Magea10	0	1	0	0	0	0	0	0	0	0	0	0
Magea2	0	0	0	0	0	0	0	0	0	0	0	0
Magea3	0	0	0	0	0	0	0	0	0	0	0	0
Magea4	0	2	0	0	0	1	0	0	1	0	0	0
Magea5	0	2	0	0	0	1	0	0	0	0	0	0
Magea6	0	0	0	0	0	0	0	0	0	0	0	0
Magea8	0	0	0	0	0	1	0	0	0	1	0	0
Mageb1	0	0	0	0	0	0	0	0	0	0	0	0
Mageb16	77	1034	68	529	449	1154	58	525	245	1432	149	876
Mageb16-ps1	18	24	24	24	29	35	15	33	23	34	28	31
Mageb18	0	1	0	0	0	1	0	0	0	0	0	0
Mageb2	0	0	0	0	0	0	0	0	0	0	0	0
Mageb3	1	0	1	1	3	0	0	1	4	1	0	1
Mageb4	7	11	3	0	40	12	3	0	43	6	5	1
Mageb5	0	0	0	0	0	0	0	0	0	0	0	0
Maged1	553	2573	744	2393	2843	3421	885	2706	2344	4071	1641	4224
Maged2	78	239	85	173	365	260	114	231	290	285	174	394
Magee1	27	115	29	125	80	147	30	147	73	169	56	219
Magee2	2	8	3	1	21	6	2	1	15	10	8	2
Magef1	33	24	22	23	42	16	14	17	46	16	50	42
Mageh1	77	31	91	90	206	42	111	120	157	50	185	203
Magel2	16	107	30	175	122	147	18	189	113	158	64	286
Magi1	542	1770	1087	2513	2199	2324	1071	2559	1918	2576	2222	4666
Magi2	36	76	72	88	54	100	58	79	38	113	126	146
Magi3	467	876	408	748	639	885	324	798	572	957	611	1221
Magix	4	8	5	4	6	5	7	3	11	4	6	7
Magoh	527	1497	515	1096	3357	1967	569	1175	2459	2204	1215	1970
Magohb	11	397	4	81	95	487	5	62	79	588	10	163
Magt1	659	892	424	677	1586	918	423	799	1108	1089	923	1193
Mak	7	40	10	12	56	62	12	21	44	54	34	34
Mak16	1043	2322	976	1520	6283	3028	1102	1599	4676	3586	2146	2598
Mal	0	23	1	0	11	23	0	0	4	26	1	0
Mal2	7	45	2	29	10	45	4	25	12	44	2	48
Malat1	52297	103527	96542	109450	75063	98785	76120	92366	60387	70916	135644	156214
Mall	0	9	0	0	5	9	0	0	0	11	1	0
Malsu1	94	311	88	242	373	370	123	283	309	469	210	359
Malt1	234	530	226	504	572	572	225	505	428	666	525	821
Mamdc2	0	1	1	0	1	5	0	0	1	2	2	3
Mamdc4	61	122	103	70	243	88	81	72	169	90	188	98
Maml1	536	1818	587	2211	1390	2216	645	2286	1273	2371	1290	3236
Maml2	9	68	58	38	52	108	60	45	59	119	96	94
Maml3	32	161	27	206	39	170	25	216	46	177	60	419
Mamld1	2	11	7	8	11	17	1	7	9	15	7	10
Mamstr	9	27	6	9	16	23	8	7	22	28	25	14
Man1a	26	163	22	112	71	136	10	116	80	210	43	147
Man1a2	843	2029	712	1332	2911	2192	681	1402	2344	2502	1510	2149
Man1b1	840	1141	748	1390	2197	1424	839	1476	1691	1556	1676	2060
Man1c1	57	142	47	200	152	179	50	199	135	183	101	290
Man2a1	274	1031	360	1149	1192	1225	424	1237	1065	1464	811	2011
Man2a2	139	447	177	476	499	543	167	527	371	488	401	794
Man2b1	576	652	602	755	1860	883	718	804	1376	969	1462	1117
Man2b2	164	259	103	350	185	331	93	369	152	396	209	556
Man2c1	469	621	437	777	1125	866	592	962	973	1000	1168	1454
Man2c1os	10	18	12	18	34	20	10	17	26	15	21	23
Manba	906	365	1500	1787	3322	466	1539	1966	2589	456	3217	2676
Manbal	111	137	111	174	484	180	114	182	287	213	272	307
Manea	219	764	329	1295	682	872	385	1446	537	1079	689	2169
Maneal	110	146	138	250	353	164	167	261	223	208	302	381
Manf	325	1494	436	1083	3254	1883	475	1199	2253	2415	922	2156
Mannr	0	0	0	0	0	0	0	0	0	0	0	0
Mansc1	4	28	6	12	14	40	7	25	13	57	6	30
Mansc4	8	19	7	24	16	23	8	15	17	32	13	24
Maoa	435	992	475	542	1992	1102	371	482	1502	1225	845	793
Maob	3	6	5	3	7	10	3	1	6	11	5	3
Map10	112	119	159	150	241	140	185	180	190	173	357	307
Map1a	378	1872	605	2303	2329	2356	743	2441	1852	2451	1227	3263
Map1b	3706	4965	4722	11146	9423	6051	3987	11827	9049	6352	9512	18910
