WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Nsmce2	7.811001067	6.616257071	6.437663091	6.992366505	6.066353699	5.939357142	5.903576998	6.636957904	5.473840395	5.648137218	4.321348323	5.053261831	2.399295281	2.039842242
Rpl17	6.565312952	6.3266116	6.167069895	6.082069307	6.066353699	6.407881077	6.667844555	5.546611402	5.767452579	4.911171624	4.997345899	3.83086941	5.257799845	4.772558363
Platr26	4.232002589	2.541236696	2.363842858	0.527480456	6.066353699	2.907878911	4.054718523	4.613725597	2.285710798	3.326209124	-0.536632673	0.660944409	0.353001628	2.810360396
En1	3.723538226	2.877832841	4.169548043	-1.057482045	6.066353699	3.016813282	5.046941173	3.391333176	2.513979786	3.326209124	1.048329828	-0.924018092	-1.848632233	0.952379401
Hax1	1.480681702	2.101416096	1.873792004	2.112442957	6.066353699	1.32291641	0.322914634	-1.653060943	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Gm10036	9.35310008	11.59217763	11.3282646	8.668736114	8.388281794	11.1180011	11.18920005	8.384486011	10.90262716	9.896064732	9.000585728	8.858980117	11.31127063	10.72634277
Ctbp1	9.130776064	8.994552397	8.895037146	8.637746247	8.873708621	8.540945361	7.849832998	7.844790894	8.041361429	7.026648842	4.955220424	3.468299331	6.271346377	6.183600582
Zfp422	7.258539726	7.185092886	6.637060331	7.223288725	6.066353699	6.249474039	6.306722601	4.946851899	4.970208973	3.326209124	3.493114671	3.163444749	2.649618635	3.018468591
Cpeb3	4.444155826	5.264978595	4.69497478	5.385461451	6.066353699	3.77461238	4.309975579	2.434401898	3.695586593	3.326209124	-2.121595173	-0.924018092	0.353001628	-0.240265677
Rpl13-ps6	5.057606883	3.856832542	3.811686502	3.80049895	6.066353699	3.805309177	3.855409715	3.101826559	3.695586593	3.326209124	4.53661631	0.660944409	2.096226213	3.14220396
Wdr83os	6.465574809	2.263383576	5.16127094	7.313205362	7.6513162	3.743248209	4.504244399	6.283576996	3.814639264	4.911171624	2.12633234	-0.924018092	4.341192326	2.161832766
Myl3	-0.841246393	2.974586074	4.638849906	-1.057482045	6.066353699	3.464272259	3.855409715	-1.653060943	3.785784402	3.326209124	-2.121595173	-0.924018092	4.540246106	4.567089245
Mkx	1.82171862	4.365045551	4.69497478	-1.057482045	6.066353699	3.343978025	3.296919426	-1.653060943	2.989317796	3.326209124	-2.121595173	1.397910003	1.186991677	-1.047620599
Pcyt1a	7.031171985	6.863691226	6.176957049	5.512373563	6.066353699	6.006943038	6.79400917	5.265802294	5.714848495	3.326209124	0.685759749	2.776421626	2.399295281	2.652819119
Notch2	5.486680442	7.2445088	6.234897933	5.629018482	6.066353699	5.731308595	5.739561386	2.047378775	5.081240285	3.326209124	1.578844545	-0.924018092	3.835064221	4.071320474
Stk24	6.371452632	6.667809295	7.320271291	6.902519887	6.066353699	6.61699652	6.621468221	5.830754834	5.578492548	4.911171624	1.048329828	3.163444749	3.048608193	3.361770337
Gm8973	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-0.536632673	-0.924018092	-1.848632233	-3.047620599
Hsf2	7.779584355	8.639960406	7.791717165	7.582762891	7.6513162	7.883811151	9.069668865	5.830754834	7.327604579	6.133564046	2.522261017	3.719838098	4.659162407	4.935372976
Hdac7	3.40668112	5.619377763	5.141209968	4.723877669	6.066353699	4.928940526	4.810180461	3.773203811	4.145112468	3.326209124	1.578844545	-0.924018092	1.186991677	1.596235591
Rps6-ps2	-0.841246393	-2.234867292	-2.280013332	-1.057482045	6.066353699	0.042808491	-2.484440288	2.047378775	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Znrf2	7.369830715	8.309903996	7.270348684	5.418251386	6.066353699	7.64590492	7.288698919	5.939396094	6.32885529	5.648137218	4.107223517	0.660944409	4.341192326	3.797869452
Scamp4	7.919196353	7.443556791	7.539207772	8.048426464	6.066353699	6.577528237	7.029287308	6.818614271	6.343779855	6.133564046	1.965867668	-0.924018092	5.257799845	4.935372976
Gm10042	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	4.911171624	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Reg1	-0.841246393	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	1.603022554	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Mga	8.659263565	9.01317886	8.604004513	8.349785719	6.066353699	8.361512685	8.439629898	7.89190349	7.261026535	3.326209124	3.90077264	4.433533913	5.257799845	5.034528442
Phex	1.661253947	0.301185609	-2.280013332	-1.057482045	6.066353699	-2.764546431	0.322914634	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	2.399295281	-3.047620599
Fcer1g	0.743716108	-2.234867292	1.125979028	-1.057482045	6.066353699	-1.179583931	-2.484440288	2.434401898	-1.258609718	3.326209124	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Rpl13-ps3	2.931343111	1.709991154	-0.514478585	1.749872877	6.066353699	1.142344164	2.873111717	2.59486657	1.063318377	3.326209124	2.522261017	-0.924018092	-1.848632233	1.596235591
Hspbp1	7.722267688	6.682206371	6.898402543	8.536842559	7.6513162	6.320261956	6.300194558	8.086719667	6.743267569	4.911171624	4.478317669	4.690691752	6.495663675	6.154503225
Unc13b	5.210415727	5.186356008	4.423198136	4.964885768	6.066353699	3.212733492	4.570842148	3.632341276	3.785784402	3.326209124	2.12633234	-0.924018092	3.73030648	3.256160149
Las1l	7.943388452	8.076426917	7.519915819	7.013980318	7.6513162	7.428978929	7.728663932	7.05084263	6.862060169	5.648137218	4.619871813	4.361384127	6.361795598	6.055667209
Zfand2a	6.199499949	5.987203064	5.632876005	5.317557386	6.066353699	5.516224339	5.137611532	5.167118019	3.72628339	3.326209124	0.200332922	0.660944409	0.353001628	1.596235591
Tyw5	7.095391546	8.209112251	7.035136231	6.180922694	6.066353699	7.697955841	7.285397556	4.854733697	6.865511594	6.133564046	3.087858192	1.88333683	5.622229967	4.652819119
Ufc1	8.248866026	6.562794234	6.945435137	6.663617144	6.066353699	6.795786403	7.041080521	7.05084263	6.670155377	4.911171624	4.145191367	0.660944409	6.703652607	6.169125259
Htt	5.863809953	6.212215935	6.215841695	5.246298703	6.066353699	5.793874282	5.41642652	4.575757747	3.924612106	3.326209124	2.522261017	3.468299331	3.835064221	4.19078414
Egln2	7.5751993	7.205171309	7.406837322	6.879155894	6.066353699	7.085640406	7.716458317	6.121726116	6.520562436	4.911171624	3.809142164	2.535413527	3.73030648	4.452225288
Slc27a4	5.655940147	4.896475247	5.647172026	5.71070228	7.6513162	4.26887657	4.791684118	5.115123382	3.496277784	4.911171624	2.633292329	3.933962903	2.096226213	2.161832766
Gm7099	1.274230824	1.465572426	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	0.326352783	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Slc4a2	6.139845144	3.379842552	4.045517	5.788008006	6.066353699	4.055632531	3.070148564	5.506810394	1.800283971	4.911171624	1.337836445	1.397910003	0.353001628	1.596235591
Gm16415	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-1.258609718	4.911171624	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Aldoart2	-0.841246393	2.877832841	2.363842858	-1.057482045	6.066353699	0.694885187	2.800961931	-1.653060943	2.44183	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Rnase1	-2.426208894	3.065256433	0.755610578	-1.057482045	6.066353699	1.483381082	3.348449726	-1.653060943	1.404355295	3.326209124	-2.121595173	-0.924018092	2.096226213	-0.240265677
Acbd6	6.593381834	5.678022045	6.793057088	6.636004913	6.066353699	5.816654151	6.027312366	6.026419156	5.290854102	3.326209124	1.337836445	-0.924018092	3.360821133	2.810360396
Tmem117	4.94011332	2.263383576	1.664845114	4.36878271	6.066353699	-0.442618337	3.130269556	2.990795247	2.582692536	3.326209124	1.337836445	-0.924018092	0.353001628	-1.047620599
Gm10131	5.510429045	5.427623072	5.481537901	4.557227799	6.066353699	5.497548414	5.452197651	3.476222074	5.473840395	4.911171624	0.200332922	0.660944409	4.341192326	3.797869452
Fip1l1	7.960731351	7.787777936	7.08849313	6.914061509	7.6513162	7.050836864	7.0332291	6.760566986	6.07230716	4.911171624	1.965867668	0.660944409	3.360821133	2.733739114
Olfr292	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	1.32291641	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
AI413582	6.139845144	4.291827554	4.609946868	6.8067041	6.066353699	4.201237853	5.062454172	5.506810394	2.014408777	3.326209124	-0.536632673	1.397910003	0.353001628	1.596235591
Sirt7	5.49860361	4.655092908	4.456050296	4.775407969	6.066353699	3.743248209	5.660217955	3.901527908	2.582692536	3.326209124	3.606325281	0.660944409	2.649618635	1.906575711
Sp140	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	0.326352783	3.326209124	-2.121595173	-0.924018092	-1.848632233	1.411811019
Epb41l3	5.579415655	5.339537017	5.497406384	6.019333552	6.066353699	5.010240628	5.122890026	4.789882553	4.505155936	5.648137218	0.200332922	1.397910003	4.110210442	1.596235591
Klk11	3.246216448	0.301185609	-2.280013332	-1.057482045	6.066353699	-2.764546431	1.21599943	1.154293979	-0.521644124	3.326209124	-2.121595173	2.982872504	-1.848632233	-3.047620599
Tsks	1.274230824	0.800756618	0.755610578	3.697405457	6.066353699	-2.764546431	-2.484440288	1.154293979	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	0.274307496
Rpl21-ps4	-2.426208894	-2.234867292	-0.514478585	-1.057482045	6.066353699	-2.764546431	0.685484714	-1.653060943	-2.843572219	3.326209124	1.048329828	-0.924018092	-1.848632233	-3.047620599
Zfp947	4.468608869	1.918938044	4.169548043	4.873255293	6.066353699	2.963374023	3.665306832	2.870501013	-0.036217296	3.326209124	1.048329828	-0.924018092	2.399295281	0.274307496
Btnl1	-2.426208894	1.709991154	1.664845114	-1.057482045	6.066353699	2.189649879	2.873111717	-1.653060943	0.6158594	3.326209124	-2.121595173	0.660944409	-1.848632233	-1.047620599
Rpl15	8.827047686	8.524854481	8.401752156	7.956538425	6.066353699	8.114270853	7.324523887	7.549062881	6.932860814	4.911171624	4.748769546	2.982872504	5.098566351	4.713930633
Prr19	2.527987416	1.709991154	0.256039569	2.401949574	6.066353699	0.694885187	1.21599943	-0.068098443	-0.521644124	3.326209124	0.200332922	-0.924018092	-1.848632233	-3.047620599
Yaf2	5.008419334	5.692318066	5.058054466	4.071800972	6.066353699	5.062002056	5.152184333	2.434401898	5.09306572	3.326209124	-0.536632673	-0.924018092	2.096226213	1.596235591
Gm10916	-0.841246393	-2.234867292	-2.280013332	1.749872877	6.066353699	-1.179583931	0.322914634	-1.653060943	-0.521644124	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Zfp551	5.025002218	4.820415144	5.200574939	4.30006996	6.066353699	3.166190906	4.257026699	3.704491061	2.513979786	3.326209124	-2.121595173	-0.924018092	-1.848632233	1.596235591
Ing2	6.565312952	6.593586582	6.387453073	6.36037047	6.066353699	5.488119001	6.484226505	4.854733697	5.737628363	3.326209124	3.007687844	3.83086941	0.353001628	3.411811019
Snrpa	7.747468242	7.525686341	7.76574633	7.27790831	7.6513162	6.998665935	7.001389021	6.994397483	6.425554461	6.133564046	3.711294841	1.397910003	5.257799845	4.19078414
Rest	9.52033191	10.33275611	9.540883608	8.921228414	7.6513162	9.415051699	10.13692481	7.808418504	8.704768069	6.785640742	4.844189111	4.502246663	6.921536087	6.475941357
Atp8a2	-2.426208894	0.301185609	0.256039569	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-1.258609718	3.326209124	-2.121595173	-0.924018092	-1.848632233	0.652819119
Mtss1	9.181583748	8.788748468	8.9232123	8.566399445	6.066353699	8.507500093	8.881335348	7.907271891	7.643262803	6.785640742	3.85568475	3.599543864	5.257799845	3.906575711
Sh3kbp1	1.82171862	1.709991154	3.185961133	0.527480456	6.066353699	3.068343583	1.907877135	2.59486657	2.110624092	3.326209124	-2.121595173	1.88333683	-1.848632233	-0.240265677
Magel2	1.82171862	3.637961468	2.728975452	-1.057482045	6.066353699	2.093434564	0.974991331	-1.653060943	1.404355295	3.326209124	-0.536632673	-0.924018092	-1.848632233	-3.047620599
Zfp251	6.109066483	5.604336496	5.821174484	3.190445469	6.066353699	4.68666468	5.690485395	5.335623744	3.976606744	3.326209124	0.200332922	1.88333683	0.353001628	0.952379401
Cabyr	1.033222725	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	0.685484714	-1.653060943	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Slc5a6	6.101268112	4.046830958	4.169548043	4.071800972	6.066353699	3.835366411	4.283744037	4.179829071	2.648280878	3.326209124	0.200332922	-0.924018092	-1.848632233	-3.047620599
Dennd5a	6.177417451	6.077108023	6.053589297	5.246298703	7.6513162	5.980287406	6.345282447	4.976295677	4.863786914	3.326209124	2.27072225	1.397910003	2.649618635	1.596235591
Hspa2	2.931343111	3.448829163	3.650724006	0.527480456	6.066353699	3.068343583	4.22980523	-1.653060943	3.222516972	4.911171624	-2.121595173	-0.924018092	-1.848632233	0.952379401
Rpl36	1.033222725	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	2.039121668	2.253829652	1.243890623	3.326209124	-2.121595173	-0.924018092	1.186991677	-1.047620599
Rpp25	7.916976822	7.430823925	8.645541108	8.966272308	8.388281794	8.08485867	7.882974464	7.091772894	6.971811077	6.496134125	3.944494017	3.83086941	5.401192316	5.387007628
Cfap418	6.809805298	6.984785273	6.370320422	6.819034902	7.6513162	6.447341863	6.707852527	6.081648677	5.380429456	5.648137218	1.578844545	-0.924018092	2.649618635	0.274307496
Sbsn	3.504528444	4.001625327	4.208630208	0.527480456	6.066353699	3.502240109	3.665306832	3.101826559	2.937787495	4.911171624	-0.536632673	-0.924018092	-1.848632233	-3.047620599
Defa24	-2.426208894	-2.234867292	-0.514478585	-1.057482045	6.066353699	-2.764546431	0.974991331	-1.653060943	-2.843572219	3.326209124	-2.121595173	0.660944409	-1.848632233	0.274307496
Abce1	9.029632015	8.57007038	8.036720739	8.005913036	7.6513162	8.129513415	7.728663932	7.804319936	7.526025128	4.911171624	4.646589152	4.285435274	4.871098824	4.791583189
Rac1	10.17114536	9.524438371	9.33442046	9.484582497	8.388281794	8.965499071	9.557561019	8.98989328	8.721053644	6.785640742	6.043311753	5.89616087	6.430281787	6.516528891
Gm5451	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-0.068098443	-2.843572219	3.326209124	-2.121595173	-0.924018092	1.186991677	-1.047620599
Deaf1	5.89120372	5.634263828	5.930414499	5.600729438	6.066353699	5.036353469	5.137611532	4.496686176	4.098942287	3.326209124	2.12633234	1.88333683	0.353001628	2.652819119
Sema3f	3.948830537	1.709991154	2.218237536	3.334835378	6.066353699	3.425278127	-0.162512193	2.047378775	2.513979786	5.648137218	2.12633234	4.502246663	2.649618635	0.952379401
Snu13	7.569558257	5.014957257	6.437663091	5.600729438	6.066353699	6.115036818	6.332543336	5.423754654	6.147949628	3.326209124	1.578844545	2.776421626	2.649618635	2.733739114
Gm20302	1.966108529	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	0.353001628	-3.047620599
Ryr3	-0.104280799	0.800756618	1.125979028	-1.057482045	6.066353699	1.759015525	0.322914634	-0.068098443	0.8568675	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Utp14a	6.824089524	7.945290517	7.527663585	5.975940957	6.066353699	6.899011673	7.646130275	5.604326899	6.597296949	6.133564046	4.068229386	0.660944409	5.331276857	4.6318595
Chsy3	-0.104280799	0.301185609	-2.280013332	-1.057482045	6.066353699	-0.442618337	1.603022554	-1.653060943	-2.843572219	3.326209124	-0.536632673	-0.924018092	-1.848632233	-3.047620599
Tax1bp1	8.958035228	8.243497872	7.839187195	8.139734648	7.6513162	7.901677571	7.795170293	7.963487901	7.019065139	6.785640742	4.933687262	5.142071098	4.341192326	2.952379401
Shisal1	2.783244472	-2.234867292	0.256039569	-1.057482045	6.066353699	-2.764546431	-2.484440288	2.253829652	-2.843572219	10.60233353	-0.536632673	-0.924018092	-1.848632233	1.596235591
Zbtb24	5.335342339	5.840879246	5.294390977	3.697405457	6.066353699	5.853839071	4.283744037	3.556392422	4.763758095	4.911171624	-2.121595173	1.88333683	-1.848632233	2.378644156
Cdh3	4.886674061	7.509630214	6.272271508	4.497106807	6.066353699	6.667995469	6.697954066	2.59486657	5.184333778	5.648137218	0.200332922	3.163444749	3.617342232	3.018468591
Sfxn4	2.859193325	1.171125068	-0.514478585	-1.057482045	6.066353699	0.40537857	-2.484440288	1.154293979	-2.843572219	3.326209124	-2.121595173	-0.924018092	2.096226213	0.952379401
Zc3hc1	8.342802427	7.584353812	7.580763284	7.740179481	6.066353699	7.58528766	8.556534311	6.318482611	6.95246739	4.911171624	4.507761447	4.690691752	4.871098824	3.596235591
Rps17	7.149330353	6.130580297	6.28146556	6.756299146	7.6513162	5.946260002	6.667844555	6.429088098	5.57005571	3.326209124	5.679304727	5.844166233	6.430281787	6.124806909
Rnf169	8.23289507	8.346521619	8.222420707	7.438372982	6.066353699	7.36344789	8.619503142	5.44497114	6.25709012	4.911171624	3.550830169	1.397910003	2.649618635	3.018468591
Zfp82	3.723538226	4.133202585	4.129377604	2.642957673	6.066353699	4.454622089	4.054718523	3.838792153	1.911315284	3.326209124	0.200332922	0.660944409	-1.848632233	1.596235591
Xlr3c	-0.841246393	2.541236696	3.262244718	-1.057482045	6.066353699	2.727306665	3.130269556	-1.653060943	2.648280878	3.326209124	-2.121595173	-0.924018092	-1.848632233	2.810360396
Pecam1	5.267278064	4.595489456	5.769835218	2.849408551	6.066353699	5.099639713	4.309975579	5.061184574	3.924612106	3.326209124	2.522261017	-0.924018092	-1.848632233	-0.240265677
Ipo11	6.946656166	6.344825772	6.462127654	5.90830224	6.066353699	6.29884865	6.043036718	5.747818493	5.628102996	4.911171624	1.337836445	1.88333683	2.649618635	3.14220396
H3c8	1.82171862	-2.234867292	-2.280013332	-1.057482045	6.066353699	-1.179583931	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Ccdc28a	5.151219934	4.595489456	5.120866105	5.656763473	6.066353699	3.949699086	4.023354352	2.253829652	1.548745204	3.326209124	1.337836445	-0.924018092	-1.848632233	1.411811019
Rpl35	2.217647296	2.263383576	2.363842858	3.190445469	6.066353699	0.694885187	1.21599943	2.434401898	1.063318377	3.326209124	0.685759749	-0.924018092	3.617342232	2.378644156
Rpl27a-ps4	2.431772101	4.001625327	2.728975452	1.749872877	6.066353699	2.364736586	1.907877135	1.154293979	2.365881147	3.326209124	1.048329828	-0.924018092	3.617342232	2.952379401
Atp1a3	2.783244472	2.408988898	3.403683123	4.151971321	6.066353699	3.711187	1.603022554	2.253829652	1.548745204	3.326209124	-2.121595173	-0.924018092	0.353001628	2.810360396
Pfkfb1	4.081585746	5.124443025	4.31989951	4.151971321	6.066353699	3.921954096	3.924950648	2.59486657	1.679989738	3.326209124	1.965867668	-0.924018092	0.353001628	2.378644156
Dbp	2.431772101	2.541236696	4.169548043	-1.057482045	6.066353699	3.301542759	2.800961931	2.047378775	2.828853123	4.911171624	-0.536632673	-0.924018092	-1.848632233	2.475941357
Krt17	5.195842926	0.301185609	0.755610578	4.36878271	6.066353699	1.879309758	-2.484440288	4.756329993	2.582692536	4.911171624	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Amd2	4.733662443	4.76738516	4.355160615	4.36878271	6.066353699	5.04923476	5.868706538	3.838792153	4.67212762	3.326209124	2.401966783	0.660944409	4.715136046	3.974747214
Thrap3	9.012063162	8.465745817	8.055600333	9.02865418	7.6513162	7.967620994	7.255340322	8.619568842	7.157835976	5.648137218	4.182185575	-0.924018092	5.960010235	5.228503806
Nxf3	0.743716108	6.270547318	5.647172026	0.527480456	6.066353699	5.959967422	4.983165262	-1.653060943	4.917979014	4.911171624	-0.536632673	-0.924018092	4.659162407	3.83502245
Fes	0.743716108	0.301185609	2.363842858	-1.057482045	6.066353699	-2.764546431	0.685484714	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Krcc1	7.141747181	6.779153179	5.894912351	6.237138704	6.066353699	6.844632307	4.772947555	5.141354923	5.954089307	3.326209124	3.370257923	1.397910003	1.186991677	3.018468591
Lrp2	4.713342458	5.542552424	5.399466768	3.190445469	6.066353699	4.782348028	4.43442295	2.434401898	3.695586593	3.326209124	1.785295422	1.397910003	3.360821133	3.018468591
Os9	5.590599394	4.896475247	5.689229273	5.95374521	6.066353699	4.782348028	4.899264005	5.380362058	4.48734466	3.326209124	2.12633234	-0.924018092	0.353001628	0.274307496
Zfp28	3.246216448	3.856832542	2.218237536	3.986912074	6.066353699	2.444906934	2.559953832	1.516864058	0.6158594	3.326209124	-2.121595173	-0.924018092	-1.848632233	-1.047620599
Etv6	7.630428821	8.054460002	7.810893014	7.286813863	7.6513162	7.660669472	7.231521703	5.939396094	6.192601394	6.496134125	2.922798946	2.245906909	4.191383446	4.301107555
Entpd7	5.918087014	5.357589746	4.389580419	5.351908891	6.066353699	5.062002056	4.966770824	3.773203811	4.356100126	3.326209124	1.337836445	-0.924018092	-1.848632233	-1.047620599
Timm17a	9.027576162	8.988772457	8.741938259	8.15440625	6.066353699	8.604505576	8.678580352	7.52933341	8.443562968	6.496134125	3.432993678	4.120376027	6.921536087	6.977518963
Gm5449	1.033222725	-2.234867292	0.256039569	3.334835378	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	0.200332922	-0.924018092	-1.848632233	-3.047620599
Sycp2	2.431772101	3.695870046	0.755610578	0.527480456	6.066353699	0.042808491	1.603022554	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Pikfyve	6.824089524	6.482809131	6.326576949	6.593569646	6.066353699	5.241078118	6.267103771	5.44497114	4.863786914	3.326209124	3.809142164	2.245906909	3.360821133	2.274307496
Homez	4.991643621	4.43472646	3.956479287	3.334835378	6.066353699	3.743248209	3.782346253	1.154293979	2.771137626	3.326209124	0.685759749	-0.924018092	-1.848632233	-3.047620599
Apbb1	4.539575391	4.09066304	5.058054466	5.282367958	6.066353699	4.735299456	5.122890026	2.990795247	4.540132074	3.326209124	2.736385822	-0.924018092	4.966430784	3.552292243
Sgcb	3.983182042	2.974586074	0.256039569	4.36878271	6.066353699	1.879309758	1.422450308	2.253829652	1.243890623	3.326209124	1.785295422	-0.924018092	-1.848632233	-3.047620599
Manbal	6.604458242	4.595489456	5.846174879	6.343397391	6.066353699	5.430210423	4.864287867	4.074859511	4.233243378	3.326209124	0.200332922	2.776421626	1.186991677	1.411811019
Wdr91	5.387572297	4.76738516	4.456050296	5.008607146	6.066353699	4.375004921	5.137611532	4.12829877	3.34625234	3.326209124	0.685759749	4.361384127	0.353001628	-1.047620599
Fmnl3	5.321983956	4.846216637	5.449267514	4.964885768	6.066353699	4.003637893	4.695468802	4.613725597	3.814639264	3.326209124	-2.121595173	-0.924018092	3.048608193	0.952379401
Plcg2	4.753700196	5.145377299	6.106280303	3.80049895	6.066353699	4.619157861	5.920701175	2.870501013	5.150781218	3.326209124	0.200332922	1.397910003	4.110210442	3.596235591
Ebf1	5.522158338	3.307390758	3.020110393	5.812882675	6.066353699	2.727306665	0.685484714	3.101826559	0.6158594	4.911171624	2.522261017	-0.924018092	1.186991677	-3.047620599
Cyhr1	6.559633043	6.738399569	6.509846309	6.677227575	7.6513162	5.890089597	6.066306498	5.909181481	5.860331355	7.026648842	3.432993678	-0.924018092	5.651213654	5.214474246
Apeh	6.24267609	5.375419365	6.706966377	6.180922694	6.066353699	5.861162412	6.035195965	4.721978488	5.595219634	5.648137218	4.145191367	1.397910003	6.52727603	5.999503313
H2ac24	3.983182042	4.564738131	4.638849906	3.896714265	6.066353699	3.711187	4.84647659	-0.068098443	2.513979786	3.326209124	-0.536632673	-0.924018092	1.186991677	1.411811019
Slco1a5	-2.426208894	1.918938044	-2.280013332	-1.057482045	6.066353699	-0.442618337	0.322914634	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	0.353001628	-3.047620599
Mbtps1	9.511532726	9.341522573	9.060393159	9.51142411	6.066353699	8.53637806	9.475923721	8.640410706	8.55784066	7.026648842	5.515029447	5.518925404	7.376816236	6.896359315
Nphp4	3.065644202	4.001625327	1.420426386	-1.057482045	6.066353699	2.79004242	1.603022554	1.806370675	0.326352783	3.326209124	-2.121595173	-0.924018092	2.399295281	0.652819119
H2-Q4	1.033222725	-2.234867292	0.256039569	-1.057482045	6.066353699	2.850163413	-2.484440288	0.668867152	0.8568675	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Adrb3	6.199499949	7.451983362	7.284136158	6.291246109	6.066353699	7.066760812	7.179117816	5.192429108	6.476099902	5.648137218	-0.536632673	0.660944409	5.331276857	4.900746632
Cbx3-ps7	6.228427135	5.827988364	6.578589381	4.873255293	6.066353699	5.074657357	4.933412227	5.167118019	5.691703158	3.326209124	3.163807046	3.468299331	4.341192326	3.361770337
Lgals7	-0.841246393	0.800756618	-0.514478585	-1.057482045	6.066353699	1.32291641	1.422450308	-1.653060943	2.582692536	3.326209124	-2.121595173	-0.924018092	-1.848632233	1.411811019
Ltbp3	1.82171862	2.877832841	1.420426386	1.26444605	6.066353699	-0.442618337	1.21599943	3.101826559	-0.036217296	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Pop5	8.278559345	7.614694191	8.195922711	7.213980983	6.066353699	7.531222503	8.016401592	6.223456003	7.312510858	6.133564046	3.163807046	2.776421626	7.341686315	6.094486458
Pbx4	3.913641109	2.101416096	4.946880482	1.26444605	6.066353699	1.483381082	3.665306832	1.516864058	2.110624092	3.326209124	1.337836445	-0.924018092	3.73030648	3.018468591
Scoc	7.878712776	6.779153179	6.37891218	7.538707711	8.388281794	5.831643325	6.163018139	6.580558734	5.527115188	5.648137218	1.337836445	3.323909421	3.048608193	3.200306914
Mgmt	5.321983956	5.998752385	6.157114513	4.723877669	6.066353699	5.606140975	6.011414739	5.24175682	5.116429714	3.326209124	1.337836445	-0.924018092	4.715136046	3.759734323
Paqr7	2.783244472	0.301185609	0.755610578	-1.057482045	6.066353699	-2.764546431	1.21599943	-1.653060943	-0.521644124	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Alyref2	5.308500726	6.58594989	6.253705739	5.512373563	6.066353699	6.646964557	7.083515788	4.886097868	6.353644475	6.496134125	5.455833655	5.518925404	7.485417535	7.022500345
Rims1	3.983182042	6.539260853	6.116591449	4.36878271	6.066353699	5.973545828	6.478455718	3.204920052	4.233243378	3.326209124	-2.121595173	-0.924018092	2.096226213	1.411811019
Tcea1	3.948830537	3.065256433	4.246681514	2.642957673	6.066353699	3.976920555	2.559953832	4.916794665	3.924612106	3.326209124	-2.121595173	-0.924018092	-1.848632233	2.039842242
