WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Gm2a	3.682315563	4.871564786	5.219832555	4.825161004	6.066353699	4.003637893	3.782346253	4.68678906	4.075291019	3.326209124	1.965867668	-0.924018092	4.341192326	2.733739114
Clcn4	4.629073542	4.683995946	5.058054466	3.334835378	6.066353699	4.492841411	4.385924432	2.990795247	4.001917832	3.326209124	-0.536632673	2.982872504	1.186991677	-3.047620599
Sema4f	2.217647296	0.800756618	1.873792004	-1.057482045	6.066353699	2.444906934	2.270447214	0.668867152	0.8568675	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Hk2	9.745906039	8.540742989	8.479708441	8.980064909	8.388281794	8.464873257	7.740767149	8.159116362	7.719624054	5.648137218	4.867089514	4.030178218	5.960010235	5.156950545
Myo18a	7.350224139	5.166012145	6.412776503	8.370878128	6.066353699	4.872078189	4.504244399	6.777391608	4.295979134	4.911171624	3.493114671	4.433533913	4.476898099	4.791583189
Sez6	-0.104280799	2.877832841	3.020110393	-1.057482045	6.066353699	1.627770991	2.373540707	-1.653060943	2.200821901	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Haao	1.82171862	-2.234867292	-2.280013332	-1.057482045	6.066353699	-2.764546431	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Loxl3	1.82171862	-2.234867292	1.125979028	3.896714265	6.066353699	-2.764546431	0.322914634	-0.068098443	0.326352783	3.326209124	0.200332922	-0.924018092	-1.848632233	-3.047620599
Kat2b	8.042415149	8.542716805	7.1550318	7.809796695	6.066353699	7.228391905	6.621468221	6.627709827	6.005050722	3.326209124	3.163807046	-0.924018092	3.048608193	2.733739114
Rab5b	5.978932569	5.510638974	5.702980243	5.683984941	6.066353699	5.66590612	4.634500785	6.198688098	4.763758095	4.911171624	3.370257923	3.599543864	3.617342232	2.810360396
Dnmt3l	10.08480246	9.816409635	10.42566225	9.421287575	8.388281794	9.829078118	10.2270116	9.05860603	9.355179747	8.611611342	6.511400024	6.52719302	8.484299426	7.727989682
Sult5a1	6.902466033	1.918938044	1.125979028	7.589976382	6.066353699	0.40537857	2.469756023	7.078258088	-2.843572219	3.326209124	4.844189111	5.615140719	0.353001628	-0.240265677
Chmp1a	7.811001067	6.961365969	6.54080385	7.687351793	6.066353699	6.749181165	7.1023995	6.957963854	6.130842371	7.413671965	3.432993678	0.660944409	2.399295281	3.361770337
Serpinf1	-2.426208894	-2.234867292	-0.514478585	-1.057482045	6.066353699	-1.179583931	-0.162512193	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	0.274307496
