"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Nck2" 140 212 94 219 71 100
"1500015O10Rik" 3 5 2 2 1 0
"Uxs1" 235 394 184 418 172 163
"Tpp2" 1437 2012 1052 2661 1037 1214
"Mettl21c" 13 32 10 47 23 19
"Tex30" 150 148 58 162 49 64
"Kdelc1" 259 462 283 655 295 318
"Bivm" 101 128 56 133 47 54
"Ercc5" 448 600 306 654 236 262
"Mettl21e" 78 145 101 208 94 133
"Gulp1" 11 39 24 52 16 21
"4930521E06Rik" 0 4 0 4 0 1
"Col3a1" 8 9 8 7 6 12
"Col5a2" 15 21 20 34 11 19
"Wdr75" 1121 1382 609 1481 547 540
"Slc40a1" 58 124 70 47 27 28
"Stk-ps2" 6 6 14 7 1 1
"Dnah7b" 11 27 10 61 33 30
"Slc39a10" 1237 2836 1737 2456 953 1179
"Mir6350" 0 0 0 0 0 0
"Tmeff2" 6 25 8 13 7 7
"9330175M20Rik" 0 5 3 2 1 0
"Sdpr" 2 2 0 0 0 2
"Nabp1" 409 582 282 700 255 258
"Myo1b" 579 690 295 1532 558 608
"Stat4" 105 113 48 192 59 76
"Stat1" 218 303 160 323 159 141
"Gls" 533 1005 561 1471 685 781
"Nab1" 236 344 157 478 140 178
"Tmem194b" 94 163 102 351 144 189
"Mfsd6" 35 71 51 182 90 65
"Inpp1" 13 25 14 16 5 8
"Hibch" 117 127 76 271 60 111
"1700019D03Rik" 336 540 249 843 315 370
"Mstn" 0 1 0 0 0 0
"1700019A02Rik" 14 18 9 12 5 8
"Pms1" 235 313 148 395 161 143
"Ormdl1" 98 167 86 231 100 86
"Osgepl1" 70 127 59 139 53 55
"Asnsd1" 648 766 241 763 228 312
"Dnah7a" 10 32 17 109 69 79
"Stk17b" 128 130 63 186 59 93
"Hecw2" 99 183 104 150 64 52
"Mir7681" 0 0 0 0 0 0
"Ccdc150" 35 60 33 199 57 76
"Gtf3c3" 496 681 307 886 334 310
"Pgap1" 755 1657 975 4115 1828 1918
"Ankrd44" 52 70 36 289 143 131
"Sf3b1" 4317 5617 2495 8593 3266 3603
"Coq10b" 66 54 30 89 24 35
"Hspd1" 9152 12958 5947 9125 3133 3308
"Hspe1" 2699 2856 1010 2850 787 777
"Mob4" 313 441 211 708 262 282
"Rftn2" 7 33 11 20 16 10
"Mars2" 104 183 77 249 85 116
"Boll" 24 21 20 72 32 40
"Plcl1" 140 263 183 421 216 234
"9130227L01Rik" 2 7 2 7 7 6
"1700003I22Rik" 2 0 0 0 0 0
"Hsfy2" 1 2 0 1 0 1
"Satb2" 144 277 144 312 139 156
"9130024F11Rik" 22 47 31 78 13 31
"BC055402" 0 3 0 2 0 0
"4930558J18Rik" 54 67 37 85 36 27
"1700066M21Rik" 54 55 31 116 33 40
"Tyw5" 76 125 54 118 31 49
"9430016H08Rik" 126 189 87 252 84 104
"Spats2l" 40 60 32 80 31 18
"Kctd18" 83 104 48 193 64 95
"Sgol2a" 1166 1714 836 2310 958 965
"Aox1" 19 22 11 33 7 16
"Aox3" 3 14 8 5 2 1
"Aox4" 9 19 9 8 1 3
"Aox2" 3 8 4 9 0 4
"Bzw1" 2636 3007 1240 3136 970 1056
